Sampling Rate : 128HZ,Duration : 10 Minutes
Time,PPG
8.0390625,-74723.09375
8.046875,-74722.05469
8.0546875,-74721.89063
8.0625,-74726.40625
8.0703125,-74735.61719
8.078125,-74747.74219
8.0859375,-74760.26563
8.09375,-74770
8.1015625,-74777.35938
8.109375,-74783
8.1171875,-74788.01563
8.125,-74793.64063
8.1328125,-74799.27344
8.140625,-74804.6875
8.1484375,-74809.85938
8.15625,-74815.35938
8.1640625,-74822.55469
8.171875,-74831.53906
8.1796875,-74842.19531
8.1875,-74853.91406
8.1953125,-74865.3125
8.203125,-74877.98438
8.2109375,-74892.96094
8.21875,-74911.41406
8.2265625,-74932.80469
8.234375,-74952.28125
8.2421875,-74964.49219
8.25,-74963.04688
8.2578125,-74944.5625
8.265625,-74910.92188
8.2734375,-74867.1875
8.28125,-74820.82031
8.2890625,-74777.5625
8.296875,-74739.66406
8.3046875,-74706.38281
8.3125,-74674.10156
8.3203125,-74639.65625
8.328125,-74601.08594
8.3359375,-74556.91406
8.34375,-74509.03125
8.3515625,-74459.14063
8.359375,-74410.41406
8.3671875,-74366.94531
8.375,-74330.63281
8.3828125,-74303.07031
8.390625,-74281.80469
8.3984375,-74262.15625
8.40625,-74239.60156
8.4140625,-74210.78125
8.421875,-74176.21875
8.4296875,-74139.27344
8.4375,-74104.32813
8.4453125,-74075.10938
8.453125,-74051.94531
8.4609375,-74033.17969
8.46875,-74016.16406
8.4765625,-73997.42188
8.484375,-73977.00781
8.4921875,-73955.20313
8.5,-73934.0625
8.5078125,-73916.07813
8.515625,-73902.5
8.5234375,-73895.4375
8.53125,-73894.42969
8.5390625,-73897.38281
8.546875,-73901.60156
8.5546875,-73903.25781
8.5625,-73900.32031
8.5703125,-73892.84375
8.578125,-73882.70313
8.5859375,-73873.13281
8.59375,-73865.38281
8.6015625,-73859.0625
8.609375,-73852.25
8.6171875,-73841.88281
8.625,-73829
8.6328125,-73816.04688
8.640625,-73807.53125
8.6484375,-73807.74219
8.65625,-73816.5
8.6640625,-73832.15625
8.671875,-73850
8.6796875,-73865.77344
8.6875,-73878.125
8.6953125,-73887.3125
